PCB: 008
ASM: 000
LOT: 00000
FW:  1477971088
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0032 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1545561122.761,-2.841591E-03, 4.126055E000
1545561132.761,-2.817551E-03, 4.126073E000
1545561142.761,-2.827167E-03, 4.126110E000
1545561152.761,-2.831975E-03, 4.126073E000
1545561162.761,-2.836783E-03, 4.126055E000
1545561172.761,-2.822359E-03, 4.126092E000
1545561182.761,-2.836783E-03, 4.126147E000
1545561192.761,-2.831975E-03, 4.126110E000
1545561202.760,-2.860823E-03, 4.126092E000
1545561212.761,-2.817551E-03, 4.126092E000
1545561222.761,-2.831975E-03, 4.126110E000
1545561232.761,-2.831975E-03, 4.126110E000
1545561242.760,-2.851207E-03, 4.126092E000
1545561252.766,-2.846399E-03, 4.126128E000
1545561262.761,-2.836783E-03, 4.126128E000
1545561272.761,-2.836783E-03, 4.126110E000
1545561282.761,-2.831975E-03, 4.126110E000
1545561292.760,-2.841591E-03, 4.126128E000
1545561302.761,-2.827167E-03, 4.126165E000
1545561312.765,-2.851207E-03, 4.126128E000
1545561322.761,-2.836783E-03, 4.126092E000
1545561332.761,-2.827167E-03, 4.126165E000
1545561342.760,-2.827167E-03, 4.126128E000
1545561352.761,-2.827167E-03, 4.126110E000
1545561362.761,-2.841591E-03, 4.126128E000
1545561372.761,-2.817551E-03, 4.126110E000
1545561382.760,-2.846399E-03, 4.126147E000
1545561392.760,-2.827167E-03, 4.126165E000
1545561402.760,-2.836783E-03, 4.126147E000
1545561412.761,-2.841591E-03, 4.126147E000
1545561422.761,-2.822359E-03, 4.126147E000
1545561432.761,-2.836783E-03, 4.126165E000
1545561442.761,-2.836783E-03, 4.126147E000
1545561452.760,-2.846399E-03, 4.126165E000
1545561462.766,-2.831975E-03, 4.126165E000
1545561472.760,-2.831975E-03, 4.126183E000
1545561482.761,-2.841591E-03, 4.126165E000
1545561492.761,-2.827167E-03, 4.126183E000
1545561502.766,-2.841591E-03, 4.126165E000
1545561512.761,-2.831975E-03, 4.126165E000
1545561522.761,-2.841591E-03, 4.126128E000
1545561532.761,-2.841591E-03, 4.126165E000
1545561542.761,-2.827167E-03, 4.126202E000
1545561552.760,-2.841591E-03, 4.126183E000
1545561562.761,-2.822359E-03, 4.126147E000
1545561572.761,-2.803126E-03, 4.126183E000
1545561582.761,-2.827167E-03, 4.126202E000
1545561592.761,-2.851207E-03, 4.126128E000
1545561602.760,-2.841591E-03, 4.126165E000
1545561612.760,-2.836783E-03, 4.126183E000
1545561622.761,-2.822359E-03, 4.126165E000
1545561632.761,-2.836783E-03, 4.126183E000
1545561642.761,-2.836783E-03, 4.126110E000
1545561652.761,-2.831975E-03, 4.126202E000
1545561662.761,-2.831975E-03, 4.126183E000
1545561672.761,-2.807934E-03, 4.126147E000
1545561682.761,-2.827167E-03, 4.126147E000
1545561692.761,-2.836783E-03, 4.126220E000
1545561702.761,-2.822359E-03, 4.126202E000
1545561712.761,-2.827167E-03, 4.126147E000
1545561722.765,-2.831975E-03, 4.126183E000
1545561732.760,-2.822359E-03, 4.126183E000
1545561742.761,-2.846399E-03, 4.126165E000
1545561752.760,-2.812743E-03, 4.126165E000
1545561762.766,-2.822359E-03, 4.126183E000
1545561772.761,-2.836783E-03, 4.126165E000
1545561782.761,-2.831975E-03, 4.126128E000
1545561792.760,-2.827167E-03, 4.126202E000
1545561802.761,-2.812743E-03, 4.126220E000
1545561812.761,-2.827167E-03, 4.126202E000
1545561822.761,-2.807934E-03, 4.126165E000
1545561832.761,-2.836783E-03, 4.126147E000
1545561842.761,-2.822359E-03, 4.126165E000
1545561852.761,-2.856016E-03, 4.126147E000
1545561862.760,-2.836783E-03, 4.126165E000
1545561872.761,-2.822359E-03, 4.126147E000
1545561882.761,-2.831975E-03, 4.126165E000
1545561892.761,-2.836783E-03, 4.126220E000
1545561902.760,-2.836783E-03, 4.126183E000
1545561912.761,-2.836783E-03, 4.126183E000
1545561922.761,-2.836783E-03, 4.126202E000
1545561932.766,-2.841591E-03, 4.126147E000
1545561942.761,-2.822359E-03, 4.126165E000
1545561952.761,-2.836783E-03, 4.126165E000
1545561962.761,-2.831975E-03, 4.126147E000
